        1                    3_             X  3530806.906 Y   5328777.549 Z   593.388
        2                    3_             X  3530806.944 Y   5328777.631 Z   593.406
        3                    3_             X  3530806.937 Y   5328777.687 Z   593.406
        4                    3_             X  3530806.899 Y   5328777.756 Z   593.403
        5                    3_             X  3530806.907 Y   5328777.820 Z   593.413
        6                    3_             X  3530806.940 Y   5328777.873 Z   593.401
        7                    3_             X  3530807.006 Y   5328777.884 Z   593.404
        8                    3_             X  3530807.037 Y   5328777.843 Z   593.407
        9                    3_             X  3530807.098 Y   5328777.846 Z   593.423
        10                   3_             X  3530807.141 Y   5328777.803 Z   593.416
        11                   3_             X  3530807.169 Y   5328777.753 Z   593.418
        12                   3_             X  3530807.210 Y   5328777.728 Z   593.406
        13                   3_             X  3530807.278 Y   5328777.699 Z   593.407
        14                   3_             X  3530807.319 Y   5328777.693 Z   593.407
        15                   3_             X  3530807.357 Y   5328777.632 Z   593.407
        16                   3_             X  3530807.430 Y   5328777.597 Z   593.415
        17                   3_             X  3530807.490 Y   5328777.575 Z   593.407
        18                   3_             X  3530807.541 Y   5328777.544 Z   593.406
        19                   3_             X  3530807.543 Y   5328777.483 Z   593.410
        20                   3_             X  3530807.494 Y   5328777.399 Z   593.414
        21                   3_             X  3530807.449 Y   5328777.302 Z   593.410
        22                   3_             X  3530807.398 Y   5328777.277 Z   593.406
        23                   3_             X  3530807.365 Y   5328777.324 Z   593.408
        24                   3_             X  3530807.374 Y   5328777.369 Z   593.413
        25                   3_             X  3530807.416 Y   5328777.417 Z   593.411
        26                   3_             X  3530807.462 Y   5328777.465 Z   593.410
        27                   3_             X  3530807.455 Y   5328777.518 Z   593.409
        28                   3_             X  3530807.419 Y   5328777.537 Z   593.398
        29                   3_             X  3530807.373 Y   5328777.531 Z   593.408
        30                   3_             X  3530807.342 Y   5328777.444 Z   593.406
        31                   3_             X  3530807.293 Y   5328777.354 Z   593.401
        32                   3_             X  3530807.249 Y   5328777.429 Z   593.409
        33                   3_             X  3530807.190 Y   5328777.498 Z   593.409
        34                   3_             X  3530807.075 Y   5328777.509 Z   593.406
